metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
data_sent,1776447743,189.000000,,,,,,,,,login_pulse,,,,,,,
data_received,1776447743,776.000000,,,,,,,,,login_pulse,,,,,,,
iteration_duration,1776447743,214.634400,,,,,,,,,login_pulse,,,,,,,
iterations,1776447743,1.000000,,,,,,,,,login_pulse,,,,,,,
data_sent,1776447743,189.000000,,,,,,,,,login_pulse,,,,,,,
data_received,1776447743,776.000000,,,,,,,,,login_pulse,,,,,,,
iteration_duration,1776447743,214.634400,,,,,,,,,login_pulse,,,,,,,
iterations,1776447743,1.000000,,,,,,,,,login_pulse,,,,,,,
http_reqs,1776447743,1.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_duration,1776447743,210.386400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_blocked,1776447743,4.248000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_connecting,1776447743,1.064100,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_tls_handshaking,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_sending,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_waiting,1776447743,210.386400,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_receiving,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
http_req_failed,1776447743,0.000000,,,,true,,POST,login,HTTP/1.1,login_pulse,,200,,,login,,
data_sent,1776447743,189.000000,,,,,,,,,login_pulse,,,,,,,
data_received,1776447743,776.000000,,,,,,,,,login_pulse,,,,,,,
